	logFC	t	P.Value	adj.P.Val	B
Lrp1b	5.10055091435925	1.42304205989571	0.240216291760534	0.240216291760534	-6.82730607659389
Krt23	5.0870212637082	10.3883609583803	0.00111748979859525	0.00111748979859525	-0.307461064365259
Six6	-5.03773118466048	-1.62767248145379	0.191917358141217	0.191917358141217	-6.58859824317175
Dok7	4.99975049407182	155.228089902343	1.26696743755667e-07	1.26696743755667e-07	6.20454390485276
Ropn1l	4.960764129779	7.07399385141251	0.0038982632161249	0.0038982632161249	-1.8596168402216
Scn9a	-4.94650320328594	-2.42120264475651	0.0845312406212469	0.0845312406212469	-5.65664523470843
Stag3	-4.91624713816206	-1.56136718439857	0.20631857446198	0.20631857446198	-6.66655614850346
Misp	4.91196085396442	2.02125957602874	0.126269240862241	0.126269240862241	-6.12224471877514
Plekhd1	4.91079747267702	3.88465223038978	0.0244019106472795	0.0244019106472795	-4.15022510253096
Mir3584	-4.89214892510852	-1.42304197110968	0.240216315312395	0.240216315312395	-6.82730617871529
Pgr	4.85069264371465	12.6906785958506	0.000576537289259263	0.000576537289259263	0.498269490424546
LOC100363112	4.84877253547143	5.76667680166304	0.00743989176672898	0.00743989176672898	-2.66909483635176
Morc1	4.84219390893179	12.6676676580122	0.000580020069693229	0.000580020069693229	0.491014939523277
Scube1	-4.83950898306593	-3.97764954941182	0.0227959669450137	0.0227959669450137	-4.0659729608078
Tex15	-4.82212041201839	-1.51361532680392	0.217407957288852	0.217407957288852	-6.72238316580771
Cacna1e	-4.78416887062556	-1.61256854299605	0.195099524904564	0.195099524904564	-6.60639490360762
RGD1305928	4.75992505206254	4.39209132390089	0.0170574724913344	0.0170574724913344	-3.70591267484807
Sema3e	-4.75006225726028	-5.00622840791056	0.0115092130634185	0.0115092130634185	-3.21512579156209
Chga	-4.70999726883034	-1.60871280432904	0.195921005455642	0.195921005455642	-6.61093470920153
Pdzd4	4.70003465565443	8.92802107236658	0.00183618723121684	0.00183618723121684	-0.920933344298525
Tbx4	-4.69150840188089	-1.94575994234293	0.136600755817314	0.136600755817314	-6.21158964887962
Rab9b	-4.67871314442153	-3.5960309590072	0.0303707657370491	0.0303707657370491	-4.42017826358303
Mpo	4.6657671697664	139.263451582311	1.827358112079e-07	1.827358112079e-07	6.15919907816535
Lrrtm2	4.64268945254938	1.42304184871344	0.240216347779885	0.240216347779885	-6.82730631949505
Dbp	4.62251352771205	8.2665279776495	0.00235897913052043	0.00235897913052043	-1.23243072910322
Cdh20	-4.61132699311915	-8.95450959159492	0.0018185198722641	0.0018185198722641	-0.908935684031681
Drd1	-4.58235827473497	-1.62867975630563	0.1917071541255	0.1917071541255	-6.58741067882261
Aldoart2	-4.57190525599097	-7.66191034052854	0.00301616135584462	0.00301616135584462	-1.5389288506003
Efnb3	4.57186865981939	1.60183485309954	0.1973956944399	0.1973956944399	-6.61902939084892
Klhl31	-4.55692830034869	-1.85839689650761	0.149772315710901	0.149772315710901	-6.3152261778983
Hdc	4.54886039248743	6.06148425603756	0.00636427148874075	0.00636427148874075	-2.47346324949085
Fat3	-4.54331399801243	-1.5889290782515	0.200195289557013	0.200195289557013	-6.63420554412716
Adra1d	-4.5335518081537	-1.55853428018167	0.206959269051118	0.206959269051118	-6.66987629830539
Kcnj12	4.53320279308903	1.83439611810463	0.153637221906706	0.153637221906706	-6.34371932191708
Tenm4	4.52763590384483	1.575768615647	0.203094313345944	0.203094313345944	-6.64966317429239
Padi3	-4.52203230850009	-1.56937545475029	0.204518906685335	0.204518906685335	-6.65716535022028
Zscan10	4.5147084536037	2.27636041362782	0.0974533062293392	0.0974533062293392	-5.82336863480285
Tmem255a	-4.50100130965096	-8.74021551742245	0.0019680015289586	0.0019680015289586	-1.00701636704557
Slc7a9	4.47774486508387	130.265980317267	2.28932293188989e-07	2.28932293188989e-07	6.12657489178954
Six2	-4.4616284291426	-1.63197846979846	0.191020508821956	0.191020508821956	-6.58352093552743
Dscaml1	-4.45859143780128	-1.93861672293867	0.137627082927978	0.137627082927978	-6.22005563117592
ERCC-00048	-4.44910758213565	-3.17094057015234	0.0428628970489082	0.0428628970489082	-4.84198970727512
Fam178b	4.43794967339205	128.366465479181	2.40566219328382e-07	2.40566219328382e-07	6.11886768907113
Aox4	-4.4260194359733	-1.6075719780773	0.196164780689555	0.196164780689555	-6.61227766615494
Il36rn	-4.42342451625566	-1.57893144047544	0.202393491104898	0.202393491104898	-6.64594999921851
Cpeb1	-4.40319890048243	-10.3152839802183	0.00114375623001497	0.00114375623001497	-0.336018577501917
Gadd45gip1	4.39748225308339	41.2646530827086	1.10577199014391e-05	1.10577199014391e-05	4.54617433996079
Aldh3a1	-4.38787390211604	-27.2405024713803	4.47589992465368e-05	4.47589992465368e-05	3.33813690219069
Cpa1	4.37758701158447	125.480172512707	2.59754401234531e-07	2.59754401234531e-07	6.10653668167688
Olig2	-4.36506156792347	-1.48639089502757	0.224013077300637	0.224013077300637	-6.75406648293684
Sorcs1	-4.36402691522915	-4.40185446082384	0.0169456010528752	0.0169456010528752	-3.69772355408312
Cpvl	4.35092476052265	124.208191218097	2.68840440812049e-07	2.68840440812049e-07	6.10085110623327
Hcn1	-4.34872668798027	-1.81311478430339	0.157157828483059	0.157157828483059	-6.36898460152734
Alpk3	4.34146552652729	2.01768379138798	0.12673795937327	0.12673795937327	-6.12646971544043
