	logFC	t	P.Value	adj.P.Val	B
Scn4a	-4.31013231733157	-1.637689895978	0.190151981053102	0.190151981053102	-7.66526621045087
Alpk3	4.29936729707699	2.03702370733911	0.124539978307137	0.124539978307137	-7.1913539569347
Cpa1	4.2966201056647	353.797147293569	8.36670057886195e-09	8.36670057886195e-09	9.70211540036583
Gucy2g	4.29218962199445	5.35168663196433	0.00947590181506924	0.00947590181506924	-4.03277383237576
Ehhadh	4.27770460836916	9.72715205970542	0.00141088490593664	0.00141088490593664	-1.59935772015088
Cpvl	4.26990582210712	355.087648304888	8.26490446141395e-09	8.26490446141395e-09	9.70430999612454
Raver2	-4.26011662511358	-8.17769132220617	0.00247993112556116	0.00247993112556116	-2.3224330248021
Spo11	4.23452446618544	356.904246740443	8.12431529902179e-09	8.12431529902179e-09	9.70736268346267
Spsb4	4.23222459264711	8.28135678202309	0.00238097626688734	0.00238097626688734	-2.27026543016889
Fcrl2	4.20091657440389	11.4968917835277	0.000815154141116559	0.000815154141116559	-0.895602144367507
Coro2a	4.19484482734485	10.6287341417803	0.00105532223345333	0.00105532223345333	-1.22685888172212
Efcab3	-4.19076410647863	-28.7757423535473	3.8378670586024e-05	3.8378670586024e-05	2.98702276293051
Col26a1	4.1588283989198	12.2738131934348	0.000657001510891003	0.000657001510891003	-0.618978117741126
Klhl31	-4.15088740854592	-1.63874079689893	0.189935304888794	0.189935304888794	-7.66402443063403
Pde4c	4.14673693961008	4.57053776378393	0.0152809211916839	0.0152809211916839	-4.63680771136084
Adipoq	4.14588691849595	362.233373858081	7.72939216064586e-09	7.72939216064586e-09	9.71607798524948
Hrh1	4.1173091757356	364.200130150636	7.58994697113066e-09	7.58994697113066e-09	9.71920668481192
Pnpla1	-4.08463653356217	-7.45246298058369	0.00334388369944679	0.00334388369944679	-2.7051038065634
Rtn4r	-4.06730303893365	-27.9315320824885	4.24055083315706e-05	4.24055083315706e-05	2.86265553873949
Gp1ba	-4.06058036227667	-5.98031179880298	0.00671543610837107	0.00671543610837107	-3.59519632679236
Spata21	-4.05186412437217	-8.8692721744229	0.00190626183887763	0.00190626183887763	-1.98526996346259
Cyp4a1	4.03373074601122	31.1803578255663	2.93262737713287e-05	2.93262737713287e-05	3.32086759376559
Nr1d1	3.98459840545624	7.55063947234153	0.00320641451540127	0.00320641451540127	-2.65139024931065
Mmd2	-3.94799709446521	-11.5367915898783	0.000805902999797398	0.000805902999797398	-0.880961733251697
Clca4l	-3.92452619726692	-7.53286323792811	0.00323076000512433	0.00323076000512433	-2.66106941807976
Lhx9	3.92397345043718	381.610498980746	6.48713768731311e-09	6.48713768731311e-09	9.74499767790953
Slc22a24	-3.92155207823284	-4.9646282225729	0.0119167490876333	0.0119167490876333	-4.3230190803734
Dclk3	-3.91622511383172	-5.27876797864369	0.00988347982201137	0.00988347982201137	-4.08617056488349
Kctd8	3.91449472013044	2.57572644495886	0.0731963128315633	0.0731963128315633	-6.56829551565626
Phex	-3.91128278366969	-1.63982870147867	0.189711282617772	0.189711282617772	-7.66273883240254
Kcnv2	-3.89039944402261	-2.95731071359726	0.0517619126631955	0.0517619126631955	-6.15058948903035
Pde6b	3.88974890823894	2.58506181750109	0.0725569004572822	0.0725569004572822	-6.55781423752164
Tg	-3.87994780719419	-2.22302079625542	0.103091033415532	0.103091033415532	-6.97271224442101
Kcnd2	-3.86052584755787	-1.63982272314428	0.189712512894607	0.189712512894607	-7.66274589737706
Msh5	-3.85350822948262	-15.6287417123975	0.00029492568756111	0.00029492568756111	0.406767416650295
Gfra1	-3.82806967674326	-2.71971321603398	0.0640385733262127	0.0640385733262127	-6.4080562403594
Serpinb5	-3.80831291718903	-4.66374574155587	0.0143867505166899	0.0143867505166899	-4.56083448783051
Acnat2	-3.79830987409361	-3.71342136847995	0.0279294379777839	0.0279294379777839	-5.39158372867392
Slc25a34	3.79696672638622	5.37486461495304	0.0093508351452902	0.0093508351452902	-4.0159217383197
Elovl6	3.76525509991288	8.37682000351887	0.00229429779015336	0.00229429779015336	-2.22275025533344
Vsig2	3.75874184377102	404.011648542398	5.35500509711913e-09	5.35500509711913e-09	9.77376111134462
Slc7a11	-3.74225311699566	-45.8458201281002	8.04371052500684e-06	8.04371052500684e-06	4.88479548721037
Kcnd1	3.72336544097358	2.21686843948221	0.103728185795216	0.103728185795216	-6.97989579642384
ERCC-00098	3.71246248726452	412.014720941391	5.01323369390102e-09	5.01323369390102e-09	9.78299788417924
Nol3	3.70107712846412	4.88013303562866	0.0125522638153755	0.0125522638153755	-4.3886854143411
Pgf	-3.69146849999385	-5.91085834168478	0.00696499745423	0.00696499745423	-3.6416391976181
Etv3l	-3.68022148295111	-1.63980272433087	0.189716628498227	0.189716628498227	-7.66276953121447
Il20rb	3.65855823830209	422.473481656534	4.60802422517015e-09	4.60802422517015e-09	9.79434010282773
Agpat9	3.64081775254288	2.99722552290778	0.0499903005653485	0.0499903005653485	-6.10821541539923
RGD1310110	-3.64070153238562	-1.63979405724681	0.189718412148395	0.189718412148395	-7.66277977363498
Tex36	3.62520822863821	13.70362591504	0.000456284666866579	0.000456284666866579	-0.151718321404724
Trpc3	3.61244831825894	1.6178274194536	0.194298253750694	0.194298253750694	-7.68871892691755
Olfm2	-3.60874047043263	-5.31400439698307	0.00968380379233495	0.00968380379233495	-4.06029543493946
Nhs	3.60458524798526	1.37423639747668	0.253826546709728	0.253826546709728	-7.97214353241917
Fhl4	3.60117261137068	4.43531671968612	0.0167065492841839	0.0167065492841839	-4.74904311875182
F2rl1	3.59695057002699	2.50844742839663	0.0780088706445228	0.0780088706445228	-6.64419758532916
RGD1312005	3.59409740043826	269.601035428746	2.08639848190471e-08	2.08639848190471e-08	9.494049952352
Plac1	3.58821657496528	438.433981514144	4.06787407040761e-09	4.06787407040761e-09	9.81020828365062
Ttbk1	3.58419349675501	1.84757167383859	0.151819564159062	0.151819564159062	-7.41617144147067
P2rx5	3.58413226612414	1.66796202917339	0.184017036791619	0.184017036791619	-7.62946200190159
Rasd2	3.56185469229622	5.43291963616351	0.00904665515776809	0.00904665515776809	-3.97396370687083
Usp51	3.54485886260013	2.23985031704134	0.101371329766583	0.101371329766583	-6.95308141575872
Lrguk	-3.54453211485113	-1.63977988782952	0.189721328195416	0.189721328195416	-7.66279651848446
Cers3	-3.52065892492168	-5.57269821723278	0.00836425992596325	0.00836425992596325	-3.87439429730713
Pnpla3	3.51840583117128	3.24899043326771	0.0403724152873756	0.0403724152873756	-5.8468779536812
Vsx2	-3.50717736548437	-1.63648934705823	0.190399841416884	0.190399841416884	-7.66668470985963
Acoxl	-3.50227572842746	-1.63647947046348	0.190401881956663	0.190401881956663	-7.66669637898824
Chac1	-3.48142347773694	-6.66707396116578	0.00476911362335865	0.00476911362335865	-3.15885855185415
Scd1	3.48056138634585	9.1621110707777	0.00171508657869095	0.00171508657869095	-1.84976779560065
Lnc001	-3.4774687837963	-1.63807026697657	0.19007352456936	0.19007352456936	-7.66481676160725
Hist1h1d	3.46792987776916	0.820029099712444	0.466319674931721	0.466319674931721	-8.54661705011435
Arl13a	-3.44862621599428	-5.22597890480568	0.0101925101330226	0.0101925101330226	-4.1251906598505
Kcnn2	-3.44458899777426	-4.15110919104026	0.0202922232310228	0.0202922232310228	-4.99303425043513
Serp2	3.44342330460691	481.803343620091	2.96232759034599e-09	2.96232759034599e-09	9.84606861297239
Cdkl2	3.44319202364194	6.88788045682857	0.00430042309573112	0.00430042309573112	-3.02674769465414
Mmp20	-3.43732295516115	-4.64085982334927	0.0146000505293334	0.0146000505293334	-4.57938519278215
Rhbdl2	-3.43465785955073	-23.6071876040362	7.44761108241384e-05	7.44761108241384e-05	2.15599834510721
Kcna7	-3.43237622903273	-8.23730029052658	0.00242239887054124	0.00242239887054124	-2.29236279138159
Gfra2	-3.42131552775549	-3.00380881427175	0.049705241532416	0.049705241532416	-6.10125113793397
Vangl2	3.41403319443874	1.61632887474042	0.194615036331659	0.194615036331659	-7.69048693787227
Misp	-3.40978280925402	-1.63975807944379	0.189725816427311	0.189725816427311	-7.66282229072933
Gpihbp1	3.3983341162959	2.17545535427173	0.108138410735778	0.108138410735778	-7.02834560101683
Rasgrf2	-3.39364533855254	-1.61142333330484	0.195655962727827	0.195655962727827	-7.69627314249064
Lrrc2	3.39133060590154	1.76385864485558	0.165974161252614	0.165974161252614	-7.51569476554268
Frmpd4	3.39123515178927	2.01752415857751	0.127073224430009	0.127073224430009	-7.21442368819144
Olr1694	3.38744944158238	503.601370556251	2.55282663819603e-09	2.55282663819603e-09	9.86086812158814
Ipcef1	3.38462296103544	5.94686139555216	0.00683418160619633	0.00683418160619633	-3.61750810418183
Btnl7	-3.38348315694007	-1.62156057685035	0.19351152087528	0.19351152087528	-7.6843135965697
Capn9	-3.35358078562152	-1.63974822380005	0.189727844786631	0.189727844786631	-7.66283393770746
Asic4	-3.33607290316597	-1.63611678653524	0.190476830251497	0.190476830251497	-7.66712488203336
Gpr85	-3.3325144164232	-1.63801252043543	0.19008543327639	0.19008543327639	-7.66488499604904
Scg3	3.33161241306873	15.2109281967798	0.000322723928749443	0.000322723928749443	0.291588988428396
Nphs2	-3.32994267320965	-1.60014313776845	0.19807252317883	0.19807252317883	-7.70956974273216
Aldoc	3.32633442991469	6.05912353493746	0.00644589362816768	0.00644589362816768	-3.54303596829203
Cbln2	-3.32005278896915	-1.63974207925412	0.189729109388436	0.189729109388436	-7.66284119906502
Cela3b	3.31573342129472	537.018182662201	2.05687901656947e-09	2.05687901656947e-09	9.88030575131473
Idua	3.30590285911968	54.5025190277428	4.49959144380968e-06	4.49959144380968e-06	5.55474109104419
Hsd3b6	3.305508152047	2.19173794550122	0.106378873787149	0.106378873787149	-7.00927690134485
Casr	-3.3053016491077	-19.5235911064635	0.000140509503262078	0.000140509503262078	1.35215796586817
Noxo1	3.29762010941959	17.0866629335452	0.000219180532830134	0.000219180532830134	0.785881063007491
Popdc2	-3.29371662164568	-4.96484191009792	0.0119151941577935	0.0119151941577935	-4.32285409126065
Capn13	3.28671435929891	1.56250933216016	0.206371024725948	0.206371024725948	-7.7538351004143
Il9r	3.28545652700923	1.50128441912334	0.22067957900943	0.22067957900943	-7.82547515098938
Aig1	3.28240059601431	29.7052132440068	3.44999432470183e-05	3.44999432470183e-05	3.11950898453692
Stkld1	-3.28167815212089	-1.63973487025159	0.189730593076519	0.189730593076519	-7.66284971834733
Lgals2	3.28119171300373	9.00360595075157	0.00181532831592508	0.00181532831592508	-1.92260335219289
Bend6	-3.26600360362976	-22.4541567707938	8.80566415211411e-05	8.80566415211411e-05	1.94453675910928
