""	"logFC"	"unshrunk.logFC"	"logCPM"	"P.Value"	"FC"	"FDR"
"Gng13"	9.08649068839497	144269486.922564	2.07990710157383	0.178921443553519	543.633551792653	0.999999198610417
"Grin2c"	8.74640813332414	144269486.581779	1.76184177551374	0.00565966591901904	429.468388338109	0.252778060560446
"Acot1"	8.34365113592433	8.36322071092754	7.5041813269425	5.58495799549042e-07	324.854782839179	0.000262508539560259
"LOC100359600"	-8.33923192254933	-144269486.173518	0.854460990106256	0.346718479245634	-323.861221441988	0.999999198610417
"D3ZGC5_RAT"	7.73272414789476	144269485.564813	0.870248876066084	0.150141663654066	212.707065789059	0.999999198610417
"ENSRNOG00000010351"	7.5721852056999	7.89115761814881	2.88522503396013	0.00659582759412069	190.307051070375	0.270893200776981
"RGD1561381"	7.45092616791322	144269485.281218	0.554006215120075	0.212904727171714	174.965439500125	0.999999198610417
"Mlc1"	-7.29807240601164	-7.75629610352275	1.6419192141098	0.0737325270187663	-157.376073204342	0.999999198610417
"D3ZU50_RAT"	-7.11070689705105	-144269484.938981	-0.175249982257589	1.21467949721628e-05	-138.208917801024	0.00289487208061925
"D3ZLK4_RAT"	7.05854060407774	144269484.886707	0.293594930967391	0.0245540749786921	133.300705345449	0.59867363503523
"F1LX16_RAT"	6.65092277903174	144269484.475872	-0.0200598407276913	0.337095761599712	100.491020214519	0.999999198610417
"LOC100361007"	6.41616558971363	6.73326987371296	1.7730161336671	3.95861465959695e-05	85.4000843514334	0.006698371865504
"Acnat1"	-6.40168074799331	-6.43580066637547	4.20732215206768	0.0585620193753251	-84.5469466140558	0.918442358524796
"P2rx5"	6.38178148362932	6.54896058774866	2.54545762632065	0.107196438856928	83.388786203043	0.999999198610417
"Slc7a11"	6.14151278482764	144269483.959617	-0.469337784550553	0.000353233409194039	70.5959142616209	0.0345494943177591
"Stac3"	-6.10968450389151	-6.12379590457618	5.13407449685988	0.0193648247689677	-69.0555040655872	0.528503548251133
"Ucp3"	6.10160325584696	144269483.918998	-0.505359494173666	0.00663764728175449	68.669771401598	0.271293791436154
"Zfp462"	5.9944251079957	144269483.81057	-0.561507937336523	0.0401799280651683	63.7531670923777	0.765826807274859
