""	"logFC"	"unshrunk.logFC"	"logCPM"	"P.Value"	"FC"	"FDR"
"Ucp3"	6.22203094694908	144269483.929359	-0.534291166134835	0.0109785949121834	74.6479609070586	0.377123245772192
"Slc7a11"	6.14475463057454	144269483.85114	-0.580714074067988	0.000658670941898424	70.7547270285203	0.0558609686370793
"Stac3"	-6.11053745305844	-6.12465012079451	5.02153556224424	0.0197780826693044	-69.096343084286	0.527961619447923
"Ankra2"	-6.1048742436252	-144269483.810844	-0.99476908161147	0.153399848089489	-68.8256413565395	0.99998775872457
"RGD1359290"	6.09006486713965	144269483.795496	-0.63122548558762	0.00324093990003788	68.1227545758033	0.173029095566781
"AC141517.1"	6.03606365381171	144269483.74087	-0.656581058675086	0.00102730709453397	65.6199984111425	0.0779029234274342
"Epb4.1l1"	-5.91393311702836	-144269483.616754	-1.12247866779553	0.00196287865509912	-60.29360626901	0.121130932747062
"LOC100911453"	5.90206682716415	144269483.605777	-0.690297611945716	0.256645528008996	59.7997201228187	0.99998775872457
"LOC100911519"	5.88909260505675	144269483.59083	-0.797332357751475	0.300306000948605	59.2643494350744	0.99998775872457
"AABR07054461.1"	5.71292861829988	144269483.412263	-0.873953159611391	0.0023875885647397	52.4520995983442	0.137850186677561
"LOC100911217"	5.71292861829988	144269483.412263	-0.873953159611391	0.0023875885647397	52.4520995983442	0.137850186677561
"AABR07033279.1"	-5.67230615036358	-144269483.370853	-1.25698488524344	0.107047489734699	-50.995786690373	0.99998775872457
"LOC100360977"	5.54288148341313	144269483.237684	-1.02332585062587	0.27333440429954	46.620141668984	0.99998775872457
"AABR07072281.1"	-5.52593957410884	-144269483.221236	-1.34432772883239	0.00384410110139165	-46.0758723085558	0.197407687642342
"AABR07000699.1"	5.52057605075929	144269483.215032	-1.03212010134485	0.268452605921586	45.9048935489484	0.99998775872457
"AC106663.5"	-5.50017837292296	-144269483.194979	-1.3556289354544	0.00389794802781909	-45.2604295901778	0.198537726416935
"LOC688776"	5.40284815445147	144269483.095232	-1.08263407472357	0.00479309511185557	42.3076941898161	0.224162561629657
"Rps4x"	5.39930444707818	144269483.090701	-1.11155309928431	0.259973575490096	42.2039008712417	0.99998775872457
"Slc16a5"	5.38787433731105	5.70177658053315	0.696306583211582	0.0257821694240716	41.8708510619283	0.605283381512144
"AABR07053533.1"	5.37865251126334	144269483.069705	-1.11930449641863	0.254890969499229	41.6040626932382	0.99998775872457
"Cyp4f6"	5.33498731776088	5.59511920944238	0.933016561581215	0.0792963188573542	40.3637222573507	0.99998775872457
"AC126148.1"	5.30585939272275	144269482.99503	-1.16276103161983	0.249038816019041	39.5569528801355	0.99998775872457
"LOC689899"	5.30211285657825	5.58293758606873	0.787309389674547	0.000128441095191821	39.4543606595858	0.0164310285359978
"Slc6a11"	5.30152650009171	144269482.990823	-1.158789935294	0.0106691351564527	39.4383284289206	0.368636297559698
"Rnf186"	5.2994442110947	5.46473861086889	1.42857209726092	2.98061105049932e-06	39.3814468573889	0.00128856904561221
"Rn60_20_0047.3"	-5.25182182084026	-144269482.940609	-1.48128236839226	0.0768379630880137	-38.1027130370363	0.99998775872457
"Slc5a8"	5.24294301575293	144269482.931544	-1.17154211714285	0.0309520106852387	37.8689369014663	0.666615296957297
"Aqp3"	5.24011708646699	5.35187048655522	1.85605260489619	0.0638519063834948	37.7948324001241	0.949023785475377
"Plekhd1"	5.21542734179078	5.32749475417671	1.82664928254511	0.043895748931803	37.1535289054372	0.786705914879887
"Pkdrej"	5.21080481509491	144269482.89738	-1.21763371786281	0.140511707758263	37.034676114267	0.99998775872457
"Nrg4"	5.19612192803896	144269482.882517	-1.22070596129962	0.0189068471502164	36.659670862658	0.519571884864475
"RGD1566226"	5.18311759900167	144269482.869411	-1.22219645619239	0.00955111838452246	36.3307085881577	0.350156478511783
"LOC100361864"	-5.14178529464103	-5.59088331878065	-0.319861106072797	9.11734786563019e-05	-35.3046251708069	0.0134774339276285
"S100b"	5.06386800893915	144269482.746655	-1.28910873130435	0.0110461325658375	33.4484628924034	0.377978184805925
"Kcna7"	5.06386800893915	144269482.746655	-1.28910873130435	0.0110461325658375	33.4484628924034	0.377978184805925
"Mmp20"	5.05304343241401	144269482.735688	-1.2913639269851	0.0130584172584237	33.1984373958498	0.411865799764966
"Comp"	5.01623658529078	5.100761658118	2.0148580051552	0.00722958232269694	32.3621731740022	0.297318669767525
"Ttc9"	5.01289843800574	144269482.695048	-1.29959708357985	0.0128737538667564	32.2873792551488	0.411865799764966
"RGD1564463"	5.00342415231191	5.11499897507783	1.63259075298869	0.0274585833316235	32.0760403316099	0.626387888742635
