	logFC	t	P.Value	adj.P.Val	B
awesome1	10.1390237501102	1.64376364134321	0.188524730831284	0.188524730831284	-6.67840890755228
Dmrta1	8.21605636029274	14.0168517563348	0.000412507646764696	0.000412507646764696	0.822261099983243
Pou4f2	7.78772869081018	16.6847250024396	0.000230580635920913	0.000230580635920913	1.51589133332641
Ina	7.4341788155638	3.65960657488826	0.0288740401752532	0.0288740401752532	-4.46565222929741
Tmem130	-6.50927682152872	-6.76754847311403	0.00447872043522358	0.00447872043522358	-2.13552861205484
Stac3	-6.47598433444509	-3.96578754258791	0.0229593340577762	0.0229593340577762	-4.18213922486457
Plch1	6.32918422999931	218.659562557106	3.94041764874051e-08	3.94041764874051e-08	6.65382856379067
Slc35f1	6.09968382478651	208.177390380874	4.65159041811125e-08	4.65159041811125e-08	6.64119799316688
Grin2a	6.07427634071123	207.029091118638	4.73930740053741e-08	4.73930740053741e-08	6.6397014176319
Acaa1b	5.89946768094674	11.7490538113304	0.000741422820312468	0.000741422820312468	0.107738699044826
Comp	5.72860889745538	7.13520621354946	0.00378177664000615	0.00378177664000615	-1.92295285277925
Pnpla5	5.70911313797641	2.90539815879051	0.0538798109023808	0.0538798109023808	-5.22774776825801
Kirrel3	5.68377529230125	188.793631462921	6.47087872716215e-08	6.47087872716215e-08	6.61233513370439
Mgat5b	5.64638160120672	39.5781326677429	1.2636627867753e-05	1.2636627867753e-05	4.51943937506747
ERCC-00104	-5.6459349324649	-4.04073369692813	0.0217483180863084	0.0217483180863084	-4.11490808394845
Rab9b	-5.60805951399377	-3.74020175399587	0.0271493128116354	0.0271493128116354	-4.38962113524663
P2rx6	-5.5535605260032	-4.6926251212175	0.0139738145990442	0.0139738145990442	-3.56372145143991
Rnf186	5.45870054387029	10.2344017158645	0.00116951490250316	0.00116951490250316	-0.455323503871576
Colq	5.45592688600811	10.5474911266765	0.00105900018382487	0.00105900018382487	-0.332237362056594
Lrp1b	5.35142062620387	1.42359928034071	0.240007253385423	0.240007253385423	-6.93562077467855
Kcng1	5.25729467067027	168.409722442188	9.51814399163207e-08	9.51814399163207e-08	6.57126561780865
Crispld1	-5.24330338961743	-15.4514905762604	0.000298042260293016	0.000298042260293016	1.21205408440099
Grm2	-5.21817060036335	-1.64381298921341	0.188514620639715	0.188514620639715	-6.67835062383169
Kcnj1	-5.16635108373182	-2.69987454457145	0.0648915309975361	0.0648915309975361	-5.45134100865544
Fat3	-5.15377328650974	-1.64238870880428	0.188806658994378	0.188806658994378	-6.68003273407992
Krt23	5.08843486946354	10.3836861260956	0.00111505546373985	0.00111505546373985	-0.396166125649712
Aldoart2	-5.07955892784532	-5.51186300663211	0.00854418011940589	0.00854418011940589	-2.94728020480843
Dok7	5.06811461300847	159.24839837062	1.14973022263029e-07	1.14973022263029e-07	6.5478175310862
Plekhd1	5.04040150311608	4.04615044387066	0.0216639201011949	0.0216639201011949	-4.11008119096965
Ropn1l	4.9622941402504	7.09436613435287	0.00385199873993703	0.00385199873993703	-1.94607032846124
Pgr	4.91604936735066	12.8790211512387	0.00054671674010238	0.00054671674010238	0.480604852857298
Morc1	4.91054691335077	12.8640842870439	0.000548828887510621	0.000548828887510621	0.475905935777917
Scube1	-4.90653155066413	-4.03958953386223	0.0217661977636635	0.0217661977636635	-4.11592820746033
Mir3584	-4.86001436793844	-1.42359908285599	0.240007305741673	0.240007305741673	-6.93562100197875
Drd1	-4.83996368173068	-1.61121875506222	0.195322577155889	0.195322577155889	-6.71680257848949
Sema3e	-4.81708914152266	-5.08611643384671	0.010944706113976	0.010944706113976	-3.25788727565918
Rims1	4.81218957346475	1.42359906034279	0.24000731171027	0.24000731171027	-6.9356210278909
Smyd1	4.79571748826085	2.21531259256399	0.103522572028756	0.103522572028756	-6.00257635530469
Chga	-4.78576762903199	-1.62175785195781	0.193092517577827	0.193092517577827	-6.70437957583839
Nlrp6	-4.78184343482402	-1.62169737616018	0.193105235135061	0.193105235135061	-6.70445089072387
Pdzd4	4.7683854428142	9.05498437183591	0.00174764438976014	0.00174764438976014	-0.955479817925244
RGD1305928	4.76169698021952	4.38955992597375	0.0170580126389426	0.0170580126389426	-3.81269527667311
Mpo	4.73414554774312	142.950679915487	1.65559694704063e-07	1.65559694704063e-07	6.49534286156164
Ryr2	4.70149102319138	1.47528177058959	0.226706875008316	0.226706875008316	-6.87588155126389
Raver2	-4.67960233353539	-9.08302272390204	0.00173007026079166	0.00173007026079166	-0.942859764367046
Cdh20	-4.67834602853513	-9.08058126773504	0.00173159147722337	0.00173159147722337	-0.943957148481756
Baalc	4.67831061151338	2.80040516988026	0.0591963636049966	0.0591963636049966	-5.34114467727547
Col2a1	-4.66684309355312	-1.61311690159267	0.194918879408551	0.194918879408551	-6.71456588760865
Cdh23	4.65065877562852	2.0459690628658	0.123019824957315	0.123019824957315	-6.20148114238857
Dbp	4.62392803746747	8.25477098807883	0.00236257517372521	0.00236257517372521	-1.3326009704897
Tmprss13	-4.62052047863553	-1.46472775565864	0.229358575058197	0.229358575058197	-6.88812023343148
Cpeb1	-4.58350119396698	-9.48435734230946	0.00150172622159386	0.00150172622159386	-0.766292358124574
Tenm4	4.57404716746872	1.57789883888809	0.202558268970722	0.202558268970722	-6.75600681035997
Dscaml1	-4.56870060223405	-2.01334909957191	0.127244408627694	0.127244408627694	-6.24003825557343
Tmem255a	-4.56801905178157	-8.86638727389838	0.00187202646132818	0.00187202646132818	-1.04137100588976
Lrrc43	-4.56109699178971	-1.58858781603523	0.200206035425115	0.200206035425115	-6.74344270897861
