""	"logFC"	"unshrunk.logFC"	"logCPM"	"P.Value"	"FC"	"FDR"
"AABR07073045.1"	10.927321876742	144269488.586829	3.72172186589065	0.234320713371314	1947.38426777851	0.999996850951919
"Echs1"	10.0094480560882	144269487.668309	2.83368892948305	0.209833492717856	1030.72807355412	0.999996850951919
"Cpne1"	9.47713890320775	144269487.135303	2.2651016049624	0.34373993764318	712.693967750972	0.999996850951919
"Gng13"	9.16325571983557	144269486.820996	2.01693263183188	0.160272050013116	573.343415955593	0.999996850951919
"Grin2c"	8.97013109702781	144269486.627465	1.80492706068477	0.00130356029309214	501.508762162142	0.0929177776916075
"AC128618.1"	8.40231263108438	8.42284213803012	7.3153143718399	5.7354960036651e-07	338.3359410853	0.00051103269392656
"Rpl30"	-8.28916542213295	-8.50643713063649	3.33357041134728	0.0823146644989154	-312.814899918251	0.999996850951919
"AABR07029710.1"	7.99010577489017	8.1958415435999	3.68885843061148	0.00705405973482813	254.250319163324	0.301884712687582
"RGD1561381"	7.50999123334263	144269485.162154	0.453087513317026	0.180420084937553	182.277317409659	0.999996850951919
"LOC687679"	7.26502865259477	144269484.91547	0.198601585361219	0.359269685389516	153.812469096304	0.999996850951919
"LOC681458"	7.06456731184984	144269484.714029	0.11262795135421	0.102472376175651	133.858719824255	0.999996850951919
"Aldh18a1"	-6.7169711293599	-144269484.363462	-0.679877641842826	0.211099471286172	-105.198558760905	0.999996850951919
"AABR07037356.1"	6.66304836828648	144269484.309342	-0.181279292007186	0.273121324366292	101.339188306795	0.999996850951919
"AABR07016863.2"	6.63238766491428	144269484.277973	-0.249911452562171	0.000187337407378328	99.2082137057126	0.0235085878132624
"Lingo4"	-6.54532897150419	-144269484.190065	-0.803797630076477	0.00544709315151271	-93.3985968810809	0.25611398406321
"Chid1"	6.51893887750718	144269484.163769	-0.295181481591537	0.319898907863568	91.7056602585427	0.999996850951919
"Ciart"	6.44327278892717	144269484.086996	-0.379185107272149	0.00103019450531997	87.0198598919041	0.0794721475532545
"AC111278.1"	-6.36273871296736	-6.39488836886388	4.06456915753311	0.0605287794599995	-82.2953330515764	0.933872597382849
"Ucp3"	6.22647320682774	144269483.866835	-0.595221740662454	0.0197432246954924	74.8781666586783	0.533983364937922
"Slc7a11"	6.20943321069906	144269483.849981	-0.575936375561858	0.000648693637584936	73.9989662025919	0.0561151486493377
"Ankra2"	-6.17296382734896	-144269483.813115	-1.05381707714323	0.145707823011235	-72.1518172941989	0.999996850951919
"RGD1359290"	6.16294013845954	144269483.802947	-0.603068492183631	0.00710768740096969	71.652251755483	0.303011936567655
"Stac3"	-6.1501008223798	-6.1641775572429	5.01445691888356	0.0181170091640632	-71.0174090726834	0.513267254854699
"Mlc1"	-6.08201904032606	-6.25443219836091	1.48662669533419	0.0789358625092061	-67.7438953329897	0.999996850951919
"LOC100911519"	6.0465123519092	144269483.683727	-0.7594556828689	0.318576914963341	66.0969754712883	0.999996850951919
"Epb4.1l1"	-5.97395706315378	-144269483.611039	-1.18346831462775	0.00204591486059311	-62.8550634046624	0.128373953576652
"LOC100911453"	5.91450398866869	144269483.551257	-0.748050274300567	0.271551720331192	60.3174690534382	0.999996850951919
"AABR07053533.1"	5.80503021284718	144269483.439575	-0.844677180979132	0.269181419223814	55.9098361873935	0.999996850951919
"LOC100911217"	5.79777917232982	144269483.431778	-0.869295892532985	0.00238334064080705	55.6295361991798	0.142793214062358
"AABR07054461.1"	5.79777917232982	144269483.431778	-0.869295892532985	0.00238334064080705	55.6295361991798	0.142793214062358
"LOC688776"	5.79692879505123	144269483.431021	-0.864621589961236	0.00194035553151585	55.5967557757158	0.124477909087515
"AABR07033279.1"	-5.69234800675843	-144269483.32448	-1.34453371977212	0.100881417363595	-51.7091615416875	0.999996850951919
"AABR07000699.1"	5.64513098067767	144269483.276629	-0.954245447842905	0.255944390636844	50.0442004112665	0.999996850951919
"AABR07072281.1"	-5.59804715809812	-144269483.228173	-1.40014230438823	0.00359104587187935	-48.4373206442018	0.193330626697553
"Nrg4"	5.45951245286718	144269483.085907	-1.11189768806482	0.0115030239907298	44.0024653898828	0.396487209893239
"Rps4x"	5.40480277004548	144269483.028936	-1.17364562098703	0.274824604478315	42.3650530363184	0.999996850951919
"AC126148.1"	5.39373270849747	144269483.019681	-1.11856406835513	0.235752366714663	42.0412222710807	0.999996850951919
"LOC688754"	5.38888234067697	144269483.014571	-1.12580024591794	0.0513863642870422	41.9001162257931	0.860867834766924
"Cyp4f6"	5.38046271608265	5.64642634399453	0.875894067244834	0.0694487714805774	41.6562976706738	0.99186473639781
"Lppr1"	-5.37138048262739	-5.83310190652338	-0.280716025001029	5.31718090442211e-05	-41.3948814720914	0.0109094604405762
"Slc16a5"	5.33911825243635	5.64070432247639	0.643257394216951	0.0219431479283671	40.4794631729063	0.55919980583966
"LOC689899"	5.31470488113234	5.58906877894407	0.765027074109743	0.000124581450771996	39.8002305053394	0.0180491175020891
"Aqp3"	5.26882195215765	5.37638230114427	1.87164159632252	0.0583333896655968	38.5543556636406	0.911842985825381
"Rnf186"	5.26380123054095	5.42231716174445	1.38732606016161	3.26301722222673e-05	38.4204158848052	0.00830670955715433
"Slc6a11"	5.25832356334008	144269482.879747	-1.23012400353387	0.0129078720347284	38.2748166960041	0.423606408211527
"Slc5a8"	5.24598677831594	144269482.867246	-1.23284257081056	0.0448238793287946	37.9489161939428	0.810112877118748
"Plekhd1"	5.22707031144391	5.3345992733071	1.86036092278144	0.0372806842138428	37.4545818759171	0.749111014101816
"Kcna7"	5.22477910671423	144269482.845819	-1.23697186195086	0.00944513613577211	37.3951458865503	0.361633918831856
"Pkdrej"	5.21407852455253	144269482.833273	-1.27963291957367	0.16404032368024	37.1188092315395	0.999996850951919
"LOC100361864"	-5.21313820241104	-5.67360403741471	-0.38673031309774	0.000103117427394939	-37.0946237558202	0.0157055774032291
"S100b"	5.13377869714627	144269482.751991	-1.29558472591316	0.0106961992827447	35.1092359924286	0.383323794474881
"LOC680441"	5.12456022950462	5.42506867696147	0.469511994639782	0.00320327873319788	34.8856117940596	0.178382584454957
"Commd5"	5.09198646842022	144269482.707298	-1.35247587417733	0.248930306853829	34.1067756523882	0.999996850951919
"AABR07058831.1"	5.08559870577737	144269482.703274	-1.30503517841594	0.108720379116822	33.9560962821426	0.999996850951919
"Bmp3"	5.0715587666845	144269482.686932	-1.34993774271207	0.0403586362428209	33.6272469732102	0.77666403655191
"RGD1306739"	5.04907675148352	5.34923212733573	0.425597114159425	0.017639485549053	33.1072838717203	0.505362753189911
"Mmp20"	5.03293205785839	144269482.647814	-1.35744174866179	0.0168314064541873	32.7388571946022	0.49515204673334
"AABR07055280.1"	5.02411825736944	144269482.640094	-1.33672963743684	0.0358800867031157	32.5394566875556	0.737175954614747
"Set"	5.00757444300106	144269482.622885	-1.3490585520509	0.0691448196030469	32.1684483290308	0.99186473639781
"Ttc9"	4.99184823904345	144269482.606222	-1.36546744362106	0.0165367457252905	31.8196980222014	0.489509649210427
"Pnpla5"	4.99006916539542	5.04456491790707	2.53884800584706	0.080322777086498	31.7804834310066	0.999996850951919
"RGD1564463"	4.9647522878453	5.07169664953301	1.61448089378028	0.0291837465214679	31.2276540656413	0.658296662041212
"AABR07031762.1"	-4.92699919264404	-144269482.538946	-1.72740943891539	0.0204351528211729	-30.4210742152141	0.548425336254972
"AABR07017110.1"	4.92395459187653	144269482.537051	-1.38685229172988	0.18151825766573	30.3569425994807	0.999996850951919
"Hdc"	4.92003050208629	4.93186573079846	4.61932047828518	0.0175144542474354	30.2744847647824	0.502588687100321
"Ptx3"	4.91749328586967	144269482.528382	-1.42328434672748	0.0217090160266094	30.2212889007675	0.556875401224949
"Vdr"	4.8745379245523	144269482.4849	-1.43128324965967	0.022996443760744	29.3347323650537	0.577493090706706
"Comp"	4.81063987641438	4.87552540210221	2.13259419690243	0.0122984942215542	28.0638274303949	0.416652408798661
"Tsx"	4.79812304388774	4.87875764062186	1.83058848809316	0.00016033555204304	27.8213986398983	0.0211642928696813
"AC106663.5"	-4.77512255480837	-7.2745332004751	-1.66775182677341	0.00591084372265127	-27.3813667296269	0.270837012128008
"Gal3st1"	4.74106910338762	144269482.34652	-1.50155325875137	0.0211050691598921	26.7426235948904	0.553076959454819
"AABR07002900.1"	4.74009391526732	144269482.3453	-1.50488670199274	0.0708181214312864	26.724553056061	0.999996850951919
"Chrna2"	4.73457445707966	4.89132405260034	0.920000510055106	2.33689067309265e-05	26.6225056750789	0.00661006218960493
"AABR07052523.1"	4.72503351043992	144269482.329986	-1.5082180433023	0.0213265828720934	26.4470244764767	0.555054006578825
"RGD1565170"	4.71355637874664	5.0113285720577	0.116431392353468	0.0129861341546631	26.2374640334452	0.425391379845765
"Dgkb"	-4.71198507196465	-144269482.316027	-1.81546218711502	0.0262583359099372	-26.2089031380567	0.622874465673701
"Gata1"	-4.70469621609864	-144269482.308639	-1.81630065388865	0.0655994068624351	-26.0768231415027	0.967699859510425
"Slc29a2"	4.68527971540148	144269482.289661	-1.51614183155627	0.162591276610707	25.7282195088538	0.999996850951919
"AABR07059380.1"	4.65234931966289	144269482.252632	-1.56507587233509	0.0439589058295181	25.1476087852513	0.804258420823421
"Shisa4"	4.64730604776888	4.80375141199295	0.858921102612963	0.12553945158344	25.0598530170721	0.999996850951919
"Fbp2"	4.62916466014715	4.78551518412606	0.836357489114633	5.81324594612306e-05	24.74670707105	0.0115387394292807
"Krt23"	4.62444556384812	4.73048232832064	1.30334581810652	6.66594140760054e-06	24.6658921380495	0.00262000807864653
"Hist1h2bo"	4.55102781079698	144269482.149205	-1.59072136789103	0.0651183809440582	23.442065881556	0.964596465854627
