	logFC	t	P.Value	adj.P.Val	B
Stac3	-6.99664773606194	-3.71083556712605	0.0279032968686872	0.0279032968686872	-5.3750910459532
Tmem178b	-6.78335076138788	-17.3221470173206	0.000207199439867913	0.000207199439867913	0.869348278304459
Slc35f1	6.02191836605698	356.84392969111	7.9075052428975e-09	7.9075052428975e-09	9.68269201586784
Grin2a	5.99649731064867	356.081613182297	7.96466268641232e-09	7.96466268641232e-09	9.68144988924969
Lrrtm3	-5.68229359524465	-38.7900392730826	1.38849805007733e-05	1.38849805007733e-05	4.24211135129093
Gpr83	5.6098657097856	346.060816268599	8.76836180816459e-09	8.76836180816459e-09	9.66442253084928
Kirrel3	5.6057186669763	345.980899624085	8.77518470607821e-09	8.77518470607821e-09	9.66428131692418
Krt23	5.59478224943797	20.5234933759447	0.000117557302921476	0.000117557302921476	1.58976085619114
Comp	5.53985642714589	4.22610659319695	0.0191932400563664	0.0191932400563664	-4.90817364667721
Scn9a	-5.50149621455296	-1.64112357261034	0.189306844465848	0.189306844465848	-7.64385158058287
Colq	5.38151444510634	11.5556404376049	0.000794876354292038	0.000794876354292038	-0.850347794772217
Kcnj11	5.33124383841382	340.899245644645	9.22354847838581e-09	9.22354847838581e-09	9.6551165618777
LOC317165	5.32627439807073	27.2627389249607	4.53918912285841e-05	4.53918912285841e-05	2.78746819557803
Rnf186	5.29600076075777	10.3596577352099	0.00113901943925007	0.00113901943925007	-1.31155761387412
Dgkb	5.24328128012433	6.55655047201786	0.00500101729111076	0.00500101729111076	-3.20523729221816
Crispld1	-5.23023507075315	-19.6431892636112	0.000136125356972547	0.000136125356972547	1.40374305825211
Kcng1	5.17883893678316	338.98597006813	9.40004646954272e-09	9.40004646954272e-09	9.65156904455889
Fat3	-5.17260421805393	-1.6413304047461	0.189264347361192	0.189264347361192	-7.64360704518087
Abca13	-5.11309885641363	-1.63975936192326	0.189587404797644	0.189587404797644	-7.64546438624974
awesome1	5.10781160381034	0.820716510194461	0.465893662134755	0.465893662134755	-8.52877041684143
Atp2b3	-5.10018875707891	-6.78152350258219	0.00449314876226229	0.00449314876226229	-3.06859031153902
Dcaf12	5.06102263047497	15.062646060085	0.000330135691399741	0.000330135691399741	0.274751840932158
Sorcs1	-5.05349604201746	-5.29073975087747	0.00977180183220941	0.00977180183220941	-4.05710649238544
Slc12a3	5.00445855163413	5.61154190019747	0.00814801971110112	0.00814801971110112	-3.82657881973589
Plekhd1	4.99349585419168	3.85738425690167	0.0249965343225479	0.0249965343225479	-5.23826473733981
Pnpla5	4.94842003751781	2.20646481763815	0.104681704141335	0.104681704141335	-6.97437468001831
Aqp3	4.91229229325976	4.0397674222594	0.0218866523935072	0.0218866523935072	-5.07250710663138
Kcnq3	-4.76828950715496	-10.3148352526542	0.00115535460786907	0.00115535460786907	-1.32981490834921
LOC100360095	-4.67121731861062	-4.04712660414303	0.0217716227800055	0.0217716227800055	-5.0659219762311
Col26a1	4.67044364803898	13.8638063685279	0.000434940387461905	0.000434940387461905	-0.0779040692340374
RGD1305928	4.62230294600753	4.09126401284754	0.0210973682641119	0.0210973682641119	-5.02659249859942
Tsx	4.61405392460255	6.1874614629557	0.00600474163836884	0.00600474163836884	-3.43837756355267
Cpeb1	-4.5697478923635	-8.26885677667206	0.00237684151909907	0.00237684151909907	-2.25430595941183
