""	"logFC"	"unshrunk.logFC"	"logCPM"	"P.Value"	"FC"	"FDR"
"Fam3d"	3.50529398602837	144269481.143859	-1.90083264537378	0.156657054919014	11.3553005468885	0.999999955972958
"Fbxo36"	3.5027132823198	144269481.141241	-1.9012981235781	0.113342423595273	11.3350062568123	0.999999955972958
"Ccdc162"	3.5027132823198	144269481.141241	-1.9012981235781	0.113342423595273	11.3350062568123	0.999999955972958
"Adgrg3"	3.5027132823198	144269481.141241	-1.9012981235781	0.113342423595273	11.3350062568123	0.999999955972958
"Cdh20"	3.5027132823198	144269481.141241	-1.9012981235781	0.113342423595273	11.3350062568123	0.999999955972958
"Sytl3"	3.5027132823198	144269481.141241	-1.9012981235781	0.113342423595273	11.3350062568123	0.999999955972958
"Ifna5"	3.5027132823198	144269481.141241	-1.9012981235781	0.113342423595273	11.3350062568123	0.999999955972958
"Fam132a"	3.50013568364099	144269481.138625	-1.90176348066753	0.112437485979613	11.3147725889742	0.999999955972958
"Spata21"	3.50013568364099	144269481.138625	-1.90176348066753	0.112437485979613	11.3147725889742	0.999999955972958
"Olfr225"	3.50013568364099	144269481.138625	-1.90176348066753	0.112437485979613	11.3147725889742	0.999999955972958
"Cpeb1"	3.50013568364099	144269481.138625	-1.90176348066753	0.112437485979613	11.3147725889742	0.999999955972958
"Cml3"	3.50013568364099	144269481.138625	-1.90176348066753	0.112437485979613	11.3147725889742	0.999999955972958
"Serinc2"	3.49994724348698	3.64854077946852	0.00918461447163371	0.00390610826414783	11.313294786537	0.205489702754279
"Pcdhb8"	3.49756118702294	144269481.136013	-1.90222871668786	0.154334254666153	11.2945993248983	0.999999955972958
"Ccno"	3.49449884816858	144269481.132941	-1.90274946964088	0.198329769390305	11.2706502529752	0.999999955972958
"Ckm"	3.49449884816858	144269481.132941	-1.90274946964088	0.198329769390305	11.2706502529752	0.999999955972958
"AABR07011951.1"	3.49449884816858	144269481.132941	-1.90274946964088	0.198329769390305	11.2706502529752	0.999999955972958
"RGD1564839"	3.49449884816858	144269481.132941	-1.90274946964088	0.198329769390305	11.2706502529752	0.999999955972958
"Gfral"	3.49193180042116	144269481.130337	-1.90321443608536	0.152027008189674	11.2506137438308	0.999999955972958
"Myo16"	3.49193180042116	144269481.130337	-1.90321443608536	0.152027008189674	11.2506137438308	0.999999955972958
"Tmem169"	3.49193180042116	144269481.130337	-1.90321443608536	0.152027008189674	11.2506137438308	0.999999955972958
"Lhx4"	3.49193180042116	144269481.130337	-1.90321443608536	0.152027008189674	11.2506137438308	0.999999955972958
"Tppp2"	3.49193180042116	144269481.130337	-1.90321443608536	0.152027008189674	11.2506137438308	0.999999955972958
"Fbln7"	3.48936784183678	144269481.127736	-1.90367928161848	0.140725655626592	11.2306369023027	0.999999955972958
"Slc38a8"	3.48936784183678	144269481.127736	-1.90367928161848	0.140725655626592	11.2306369023027	0.999999955972958
"Chgb"	3.48936784183678	144269481.127736	-1.90367928161848	0.140725655626592	11.2306369023027	0.999999955972958
"Tm4sf19"	3.4868069693704	144269481.125138	-1.90414400628628	0.150432002559109	11.210719513307	0.999999955972958
"Clstn3"	3.4868069693704	144269481.125138	-1.90414400628628	0.150432002559109	11.210719513307	0.999999955972958
"AABR07054266.1"	3.48164254654735	144269481.117926	-1.90813453399096	0.111909757972969	11.1706601863438	0.999999955972958
"RGD1560997"	3.46141614769262	144269481.0966	-1.91302730106356	0.201143816142224	11.0151416897587	0.999999955972958
"Fam111a"	3.42657708659744	3.43061533618891	4.74794520382482	0.17710948109059	10.7523275406439	0.999999955972958
"Cry1"	-3.41600310570451	-3.42518131103388	3.07426580120641	4.72816868205293e-08	-10.6738083350148	5.70020136027165e-05
"Dnajc5b"	3.41208756538989	3.51222654067794	0.386970878834769	0.00720826557340062	10.6448784074177	0.290479047494113
"Cyp7a1"	3.40999859126973	3.41020552744121	9.00028904072231	0.0564156657439069	10.6294761335362	0.871413924427309
"Per3"	3.40921886416683	3.42211956023437	3.085054608917	1.32295213524425e-06	10.623732819055	0.000956957427028925
"Scd1"	3.39486973347901	3.39488206914104	13.0525040337202	2.70884508902481e-07	10.5185922743386	0.000279920442163729
"Frem3"	-3.38494062219214	-3.38542902020848	7.24649395820513	0.0200996919797048	-10.4464483375381	0.53934910438887
"LOC100363469"	3.38228700668047	144269481.009334	-1.93695120636535	0.209162995431521	10.4272513637747	0.999999955972958
